matt-barack-aventurin-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,92,86,86,86,86,86,86,86,86,86,86,86
hematit-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,20,86,86,86,86,86,86,86,86,86,86,86
zold-jade-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,88,86,86,86,86,86,86,86,86,86,86,86
matt-szurke-kepjaspis-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,9,86,86,86,86,86,86,86,86,86,86,86
lavako-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,11,86,86,86,86,86,86,86,86,86,86,86
lapisz-lazuli-matt-onix-vizonto,115,86,86,86,86,86,86,86,86,86,86,86,109,86,86,86,86,86,86,86,86,86,86,86
matt-barack-aventurin-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,92,19,19,19,19,19,19,19,19,19,19,19
hematit-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19
zold-jade-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,88,19,19,19,19,19,19,19,19,19,19,19
matt-szurke-kepjaspis-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19
lavako-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,11,19,19,19,19,19,19,19,19,19,19,19
lapisz-lazuli-matt-feher-achat-vizonto,115,19,19,19,19,19,19,19,19,19,19,19,109,19,19,19,19,19,19,19,19,19,19,19
matt-barack-aventurin-vizonto,115,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
hematit-vizonto,115,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
zold-jade-vizonto,115,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
matt-szurke-kepjaspis-vizonto,115,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
